serial_no,bid_no,S.No.,Seller Name,Offered Item,Total Price,Rank,Status,Winner
207,GEM/2025/B/6919176,,,,,,,
208,GEM/2025/B/6919244,1,M/S KEMTRON SYSTEMS (MII) Under PMA,"Item Categories : Two Rod Heater,Tripal Plastic 20 by 20,Tripal Plastic 30 by 30,Plastic Grip Security Seal,Stapler P",` 186100.00,L1,,
208,GEM/2025/B/6919244,2,KAMAKHYA INFOTECH (MII) Under PMA,"Item Categories : Two Rod Heater,Tripal Plastic 20 by 20,Tripal Plastic 30 by 30,Plastic Grip Security Seal,Stapler P",` 202061.00,L2,,
208,GEM/2025/B/6919244,3,V4U Tradefast (MII) Under PMA,"Item Categories : Two Rod Heater,Tripal Plastic 20 by 20,Tripal Plastic 30 by 30,Plastic Grip Security Seal,Stapler P",` 210140.00,L3,,
208,GEM/2025/B/6919244,,,,,,,
210,GEM/2025/B/6917855,1,SHUKRANA INFOTECH & ENGINEERS (MSE) ( MSE Social Category:ST ) Under PMA,"Item Categories : Pencil,Cello Transparent Tape 2 Inch,Cello Transparent Tape 1 Inch,Cello Transparent tape half inch",` 178000.00,L1,,
210,GEM/2025/B/6917855,2,M/S LAKSHMI TRADERS (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Pencil,Cello Transparent Tape 2 Inch,Cello Transparent Tape 1 Inch,Cello Transparent tape half inch",` 240110.00,L2,,
210,GEM/2025/B/6917855,3,M/S JBNS Traders (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Pencil,Cello Transparent Tape 2 Inch,Cello Transparent Tape 1 Inch,Cello Transparent tape half inch",` 329850.00,L3,,
210,GEM/2025/B/6917855,,,,,,,
203,GEM/2025/B/6919774,1,Royal Services (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : XLR Male Female connector,Mono Connector,AUX Connector,Digital Watch,Glass Bowl Set of Six,Floor cl",` 78792.00,L1,,
203,GEM/2025/B/6919774,2,GLOBAL CORPORATION (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : XLR Male Female connector,Mono Connector,AUX Connector,Digital Watch,Glass Bowl Set of Six,Floor cl",` 83197.00,L2,,
203,GEM/2025/B/6919774,,,,,,,
202,GEM/2025/B/6902517,1,"SHRI SAI ENTERPRISES (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : Paint Black,Paint White,Paint Yellow,Paint PO Red,Paint Bus Green,Paint Oxford Blue,Paint Firoza Bl",` 1001464.00,L1,,
202,GEM/2025/B/6902517,2,"M L ENTERPRISES (MSE,MII) ( MSE Social Category:General ) Under PMA","Item Categories : Paint Black,Paint White,Paint Yellow,Paint PO Red,Paint Bus Green,Paint Oxford Blue,Paint Firoza Bl",` 1206525.00,L2,,
202,GEM/2025/B/6902517,,,,,,,
192,GEM/2025/B/6478847,1,DWARKESH ENTERPRISE Under PMA,Item Categories : Semi Automatic Bio Chemistry Analyser,` 301500.00,L1,,
192,GEM/2025/B/6478847,2,P M ENTERPRISE Under PMA,Item Categories : Semi Automatic Bio Chemistry Analyser,` 318700.00,L2,,
192,GEM/2025/B/6478847,3,MADHAV ENTERPRISE Under PMA,Item Categories : Semi Automatic Bio Chemistry Analyser,` 340100.00,L3,,
192,GEM/2025/B/6478847,,,,,,,
191,GEM/2025/B/6527715,1,INFO VENTURES Under PMA,"Item Categories : Activity Based Educational Kits for Chemistry,Activity Based Educational Kits for Physics,Activity",` 1197600.00,L1,,
191,GEM/2025/B/6527715,2,VIBE TRADE SOLUTIONS Under PMA,"Item Categories : Activity Based Educational Kits for Chemistry,Activity Based Educational Kits for Physics,Activity",` 1198800.00,L2,,
191,GEM/2025/B/6527715,3,MULTIFLY GLOBAL ENTERPRISES Under PMA,"Item Categories : Activity Based Educational Kits for Chemistry,Activity Based Educational Kits for Physics,Activity",` 1200000.00,L3,,
191,GEM/2025/B/6527715,,,,,,,
193,GEM/2025/B/6505663,1,REGIMENTAL PRINTING PRESS THE MARATHA LIRC Under PMA,"Item Categories : File Cover Green,File Cover White,Wrapping Papers,Day Night Order Book Register,Interview Register,",` 199554.00,L1,,
193,GEM/2025/B/6505663,2,PRESTIGE ENTERPRISES Under PMA,"Item Categories : File Cover Green,File Cover White,Wrapping Papers,Day Night Order Book Register,Interview Register,",` 209934.00,L2,,
193,GEM/2025/B/6505663,3,B K ENTERPRISES (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : File Cover Green,File Cover White,Wrapping Papers,Day Night Order Book Register,Interview Register,",` 216082.00,L3,,
193,GEM/2025/B/6505663,,,,,,,
200,GEM/2025/B/6492862,1,CARE AND CARE Under PMA,Item Categories : QC Randox Vimek Make Biochemistry Analyser,` 37000.00,L1,,
200,GEM/2025/B/6492862,,,,,,,
199,GEM/2025/B/6514728,1,a k enterprises ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20073358.56,L1,,
199,GEM/2025/B/6514728,2,M/S JYOTI ENGINEERING WORKS ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20208836.79,L2,,
199,GEM/2025/B/6514728,3,HARDEV COMPUTER ( MSE Social Category:SC ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20294639.68,L3,,
199,GEM/2025/B/6514728,4,KUSHWAHA ENTERPRISES ( MSE Social Category:OBC ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20321733.07,L4,,
199,GEM/2025/B/6514728,5,b. p. singh ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20502372.98,L5,,
199,GEM/2025/B/6514728,6,CHANDRA CONSTRUCTION ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20524952.00,L6,,
199,GEM/2025/B/6514728,7,MAITHILI SHARAN CONSTRUCTION CO ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20773555.24,L7,,
199,GEM/2025/B/6514728,8,AMAN ENTERPRISES ( MSE Social Category: ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 20827229.29,L8,,
199,GEM/2025/B/6514728,9,ATHARV EYE HOSPITAL PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21158874.00,L9,,
199,GEM/2025/B/6514728,10,M/s. VIJAY KUMAR SINGH ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21166216.33,L10,,
199,GEM/2025/B/6514728,11,SATYA FABRICATE ( MSE Social Category:OBC ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21211375.74,L11,,
199,GEM/2025/B/6514728,12,NIRMAN INTERNATIONAL ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21405561.00,L12,,
199,GEM/2025/B/6514728,13,M/S N.K.ENGINEERING ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21590000.00,L13,,
199,GEM/2025/B/6514728,14,STAR ENGINEERING COMPANY (PRO.ARVIND KUMAR) ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21651680.00,L14,,
199,GEM/2025/B/6514728,15,SIYARAM CONSTRUCTION ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21676417.00,L15,,
199,GEM/2025/B/6514728,16,M/S YASEEN ENGINEERING. ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21741998.80,L16,,
199,GEM/2025/B/6514728,17,THE NTPC LANDOUSTEES HARIJANA AND BALAHEENA VARGALA LABOUR C C S LTD ( MSE Social Category:OBC ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21746514.77,L17,,
199,GEM/2025/B/6514728,18,RUPAK KUMAR ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21787158.00,L18,,
199,GEM/2025/B/6514728,19,M/s Triloki singh ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21789416.00,L19,,
199,GEM/2025/B/6514728,20,LOYALTECH MANAGEMENT SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 21951260.29,L20,,
199,GEM/2025/B/6514728,21,VINDHYA CONSTRUCTION ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 22401326.24,L21,,
199,GEM/2025/B/6514728,22,GORAKHPUR CONSTRUCTION CO PRIVATE LIMITED ( MSE Social Category:OBC ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 22579706.00,L22,,
199,GEM/2025/B/6514728,23,LAXMI HORTICULTURE ( MSE Social Category:OBC ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 22692604.44,L23,,
199,GEM/2025/B/6514728,24,M/S NIGAM ENTERPRISES ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 22803245.01,L24,,
199,GEM/2025/B/6514728,25,P N CONSTRUCTION ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 23257097.00,L25,,
199,GEM/2025/B/6514728,26,SIVASAKTHI POWER SERVICES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 23934488.28,L26,,
199,GEM/2025/B/6514728,27,CHEMPURE TECHNOLOGIES PRIVATE LIMITED ( MSE Social Category:General ) Under PMA,"Item Categories : Custom Bid for Services - Contract for Manpower Supply in Chemistry Department at NTPC Vindhyachal,",` 27303395.00,L27,,
199,GEM/2025/B/6514728,,,,,,,
194,GEM/2025/B/6427175,1,EK DANT ENTERPRISE (MII) Under PMA,"Item Categories : Envelope CT Scan Report,A D Book Admission Discharge book,Anaesthesia Record book 200 pages,Certifi",` 581716.00,L1,,
194,GEM/2025/B/6427175,2,AAC ENTERPRISE (MII) Under PMA,"Item Categories : Envelope CT Scan Report,A D Book Admission Discharge book,Anaesthesia Record book 200 pages,Certifi",` 650060.00,L2,,
194,GEM/2025/B/6427175,3,"SHREE TRADING CO (MSE,MII) ( MSE Social Category:SC ) Under PMA","Item Categories : Envelope CT Scan Report,A D Book Admission Discharge book,Anaesthesia Record book 200 pages,Certifi",` 701060.00,L3,,
194,GEM/2025/B/6427175,,,,,,,
206,GEM/2025/B/6572469,1,AVECON HEALTHCARE PVT LTD (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 10080.00,L1,,
206,GEM/2025/B/6572469,2,LABGENE BIO-TECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 10200.00,L2,,
206,GEM/2025/B/6572469,3,Biosci Health care (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 10500.00,L3,,
206,GEM/2025/B/6572469,4,M.Z. SCIENTIFIC TRADERS Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 11970.00,L4,,
206,GEM/2025/B/6572469,5,AKSHAR MARKETING Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 12000.00,L5,,
206,GEM/2025/B/6572469,6,Diagnostic Sales House Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 12180.00,L6,,
206,GEM/2025/B/6572469,7,DYGNOVA HEALTHCARE PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 15750.00,L7,,
206,GEM/2025/B/6572469,8,M/s Koul Pharmaceutical Distributors Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 16050.00,L8,,
206,GEM/2025/B/6572469,9,MNP MEDITECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 16620.00,L9,,
206,GEM/2025/B/6572469,10,PREETAM AGENCY Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 17070.00,L10,,
206,GEM/2025/B/6572469,11,GLOBAL DIAGNOSTICS Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 18000.00,L11,,
206,GEM/2025/B/6572469,12,LIFELINE DISTRIBUTION Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 19500.00,L12,,
206,GEM/2025/B/6572469,13,A.R.S. PHARMACEUTICALS Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 19500.00,L12,,
206,GEM/2025/B/6572469,14,M/S PERFECT PHARMA SOLUTIONS PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 22500.00,L13,,
206,GEM/2025/B/6572469,15,HITECH HEALTHCARE PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 24300.00,L14,,
206,GEM/2025/B/6572469,16,M/S R X SURGICAL Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 29970.00,L15,,
206,GEM/2025/B/6572469,17,WELLBE HEALTHCARE LLP Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 29970.00,L15,,
206,GEM/2025/B/6572469,18,VIMEK BIOCONCEPT PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 30000.00,L16,,
206,GEM/2025/B/6572469,19,Universal procure Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 31500.00,L17,,
206,GEM/2025/B/6572469,20,U.S SCIENTIFICS Under PMA,Item Categories : Pregnancy Rapid Test Kits (V2),` 45000.00,L18,,
206,GEM/2025/B/6572469,,,,,,,
202,GEM/2025/B/6542879,1,SARASWAT MEDICOSE (MSE) ( MSE Social Category:General ) Under PMA,"Item Categories : Fine Care T3 for Rapid Quotative Determination,Fine Care T4 for Rapid Quotative Determination,Fine",` 188360.00,L1,,
202,GEM/2025/B/6542879,2,CRYSTAL HEALTH CARE (MSE) ( MSE Social Category:OBC ) Under PMA,"Item Categories : Fine Care T3 for Rapid Quotative Determination,Fine Care T4 for Rapid Quotative Determination,Fine",` 198110.00,L2,,
202,GEM/2025/B/6542879,3,ZAPHIRE HEALTHCARE Under PMA,"Item Categories : Fine Care T3 for Rapid Quotative Determination,Fine Care T4 for Rapid Quotative Determination,Fine",` 204250.00,L3,,
202,GEM/2025/B/6542879,4,BIOSPACE HEALTH CARE Under PMA,"Item Categories : Fine Care T3 for Rapid Quotative Determination,Fine Care T4 for Rapid Quotative Determination,Fine",` 206650.00,L4,,
202,GEM/2025/B/6542879,,,,,,,
205,GEM/2025/B/6572838,1,LABGENE BIO-TECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Syphilis Rapid Test Kits,` 16620.00,L1,,
205,GEM/2025/B/6572838,2,AVECON HEALTHCARE PVT LTD (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Syphilis Rapid Test Kits,` 16800.00,L2,,
205,GEM/2025/B/6572838,3,Biosci Health care (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Syphilis Rapid Test Kits,` 17550.00,L3,,
205,GEM/2025/B/6572838,4,SACH PHARMATECH PRIVATE LIMITED Under PMA,Item Categories : Syphilis Rapid Test Kits,` 20370.00,L4,,
205,GEM/2025/B/6572838,5,M.Z. SCIENTIFIC TRADERS Under PMA,Item Categories : Syphilis Rapid Test Kits,` 21450.00,L5,,
205,GEM/2025/B/6572838,6,DYGNOVA HEALTHCARE PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : Syphilis Rapid Test Kits,` 22500.00,L6,,
205,GEM/2025/B/6572838,7,AKSHAR MARKETING Under PMA,Item Categories : Syphilis Rapid Test Kits,` 22500.00,L6,,
205,GEM/2025/B/6572838,8,Diagnostic Sales House Under PMA,Item Categories : Syphilis Rapid Test Kits,` 23100.00,L7,,
205,GEM/2025/B/6572838,9,M/s Koul Pharmaceutical Distributors Under PMA,Item Categories : Syphilis Rapid Test Kits,` 23400.00,L8,,
205,GEM/2025/B/6572838,10,GLOBAL DIAGNOSTICS Under PMA,Item Categories : Syphilis Rapid Test Kits,` 24000.00,L9,,
205,GEM/2025/B/6572838,11,M/S PERFECT PHARMA SOLUTIONS PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : Syphilis Rapid Test Kits,` 31500.00,L10,,
205,GEM/2025/B/6572838,12,PREETAM AGENCY Under PMA,Item Categories : Syphilis Rapid Test Kits,` 34800.00,L11,,
205,GEM/2025/B/6572838,13,U.S SCIENTIFICS Under PMA,Item Categories : Syphilis Rapid Test Kits,` 54000.00,L12,,
205,GEM/2025/B/6572838,14,WELLBE HEALTHCARE LLP Under PMA,Item Categories : Syphilis Rapid Test Kits,` 59970.00,L13,,
205,GEM/2025/B/6572838,,,,,,,
208,GEM/2025/B/6572298,1,SACH PHARMATECH PRIVATE LIMITED Under PMA,Item Categories : HIV Rapid Test Kits,` 22680.00,L1,,
208,GEM/2025/B/6572298,2,LABGENE BIO-TECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HIV Rapid Test Kits,` 27600.00,L2,,
208,GEM/2025/B/6572298,3,Saviour Biotech Inc Under PMA,Item Categories : HIV Rapid Test Kits,` 36510.00,L3,,
208,GEM/2025/B/6572298,4,M/s Koul Pharmaceutical Distributors Under PMA,Item Categories : HIV Rapid Test Kits,` 36600.00,L4,,
208,GEM/2025/B/6572298,5,HITECH HEALTHCARE PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : HIV Rapid Test Kits,` 39300.00,L5,,
208,GEM/2025/B/6572298,6,CHIMERA BIOTECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HIV Rapid Test Kits,` 42000.00,L6,,
208,GEM/2025/B/6572298,7,M.Z. SCIENTIFIC TRADERS Under PMA,Item Categories : HIV Rapid Test Kits,` 43410.00,L7,,
208,GEM/2025/B/6572298,8,LIFELINE DISTRIBUTION Under PMA,Item Categories : HIV Rapid Test Kits,` 45000.00,L8,,
208,GEM/2025/B/6572298,9,M/S PERFECT PHARMA SOLUTIONS PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : HIV Rapid Test Kits,` 46500.00,L9,,
208,GEM/2025/B/6572298,10,NIRVAHANA VENTURES LLP Under PMA,Item Categories : HIV Rapid Test Kits,` 48000.00,L10,,
208,GEM/2025/B/6572298,11,NUCLEUS DIAGNOSYS LLP (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HIV Rapid Test Kits,` 51000.00,L11,,
208,GEM/2025/B/6572298,12,A.R.S. PHARMACEUTICALS Under PMA,Item Categories : HIV Rapid Test Kits,` 52500.00,L12,,
208,GEM/2025/B/6572298,13,PREETAM AGENCY Under PMA,Item Categories : HIV Rapid Test Kits,` 58500.00,L13,,
208,GEM/2025/B/6572298,14,U.S SCIENTIFICS Under PMA,Item Categories : HIV Rapid Test Kits,` 63000.00,L14,,
208,GEM/2025/B/6572298,15,AKSHAR MARKETING Under PMA,Item Categories : HIV Rapid Test Kits,` 63000.00,L14,,
208,GEM/2025/B/6572298,16,GLOBAL DIAGNOSTICS Under PMA,Item Categories : HIV Rapid Test Kits,` 150000.00,L15,,
208,GEM/2025/B/6572298,,,,,,,
209,GEM/2025/B/6568173,1,SACH PHARMATECH PRIVATE LIMITED Under PMA,Item Categories : HBsAg Rapid Test Kits,` 11850.00,L1,,
209,GEM/2025/B/6568173,2,AVECON HEALTHCARE PVT LTD (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 15420.00,L2,,
209,GEM/2025/B/6568173,3,Biosci Health care (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 15450.00,L3,,
209,GEM/2025/B/6568173,4,LABGENE BIO-TECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 15600.00,L4,,
209,GEM/2025/B/6568173,5,AKSHAR MARKETING Under PMA,Item Categories : HBsAg Rapid Test Kits,` 16500.00,L5,,
209,GEM/2025/B/6568173,6,DYGNOVA HEALTHCARE PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 18900.00,L6,,
209,GEM/2025/B/6568173,7,M.Z. SCIENTIFIC TRADERS Under PMA,Item Categories : HBsAg Rapid Test Kits,` 18900.00,L6,,
209,GEM/2025/B/6568173,8,M/s Koul Pharmaceutical Distributors Under PMA,Item Categories : HBsAg Rapid Test Kits,` 22050.00,L7,,
209,GEM/2025/B/6568173,9,LIFELINE DISTRIBUTION Under PMA,Item Categories : HBsAg Rapid Test Kits,` 24000.00,L8,,
209,GEM/2025/B/6568173,10,CHIMERA BIOTECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 24000.00,L8,,
209,GEM/2025/B/6568173,11,GLOBAL DIAGNOSTICS Under PMA,Item Categories : HBsAg Rapid Test Kits,` 24000.00,L8,,
209,GEM/2025/B/6568173,12,VIMEK BIOCONCEPT PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 24000.00,L8,,
209,GEM/2025/B/6568173,13,NUCLEUS DIAGNOSYS LLP (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HBsAg Rapid Test Kits,` 25500.00,L9,,
209,GEM/2025/B/6568173,14,WELLBE HEALTHCARE LLP Under PMA,Item Categories : HBsAg Rapid Test Kits,` 29970.00,L10,,
209,GEM/2025/B/6568173,15,PREETAM AGENCY Under PMA,Item Categories : HBsAg Rapid Test Kits,` 31800.00,L11,,
209,GEM/2025/B/6568173,16,HITECH HEALTHCARE PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : HBsAg Rapid Test Kits,` 39300.00,L12,,
209,GEM/2025/B/6568173,17,U.S SCIENTIFICS Under PMA,Item Categories : HBsAg Rapid Test Kits,` 45000.00,L13,,
209,GEM/2025/B/6568173,,,,,,,
207,GEM/2025/B/6572358,1,SACH PHARMATECH PRIVATE LIMITED Under PMA,Item Categories : HCV Rapid Test Kits,` 21840.00,L1,,
207,GEM/2025/B/6572358,2,AVECON HEALTHCARE PVT LTD (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HCV Rapid Test Kits,` 28350.00,L2,,
207,GEM/2025/B/6572358,3,LABGENE BIO-TECH PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HCV Rapid Test Kits,` 28800.00,L3,,
207,GEM/2025/B/6572358,4,Biosci Health care (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HCV Rapid Test Kits,` 29100.00,L4,,
207,GEM/2025/B/6572358,5,NUCLEUS DIAGNOSYS LLP (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HCV Rapid Test Kits,` 30000.00,L5,,
207,GEM/2025/B/6572358,6,VIMEK BIOCONCEPT PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,Item Categories : HCV Rapid Test Kits,` 36000.00,L6,,
207,GEM/2025/B/6572358,7,AKSHAR MARKETING Under PMA,Item Categories : HCV Rapid Test Kits,` 36180.00,L7,,
207,GEM/2025/B/6572358,8,M.Z. SCIENTIFIC TRADERS Under PMA,Item Categories : HCV Rapid Test Kits,` 37470.00,L8,,
207,GEM/2025/B/6572358,9,M/s Koul Pharmaceutical Distributors Under PMA,Item Categories : HCV Rapid Test Kits,` 38430.00,L9,,
207,GEM/2025/B/6572358,10,WELLBE HEALTHCARE LLP Under PMA,Item Categories : HCV Rapid Test Kits,` 44970.00,L10,,
207,GEM/2025/B/6572358,11,LIFELINE DISTRIBUTION Under PMA,Item Categories : HCV Rapid Test Kits,` 45000.00,L11,,
207,GEM/2025/B/6572358,12,M/S PERFECT PHARMA SOLUTIONS PHARMACEUTICAL DISTRIBUTORS Under PMA,Item Categories : HCV Rapid Test Kits,` 46500.00,L12,,
207,GEM/2025/B/6572358,13,NIRVAHANA VENTURES LLP Under PMA,Item Categories : HCV Rapid Test Kits,` 48000.00,L13,,
207,GEM/2025/B/6572358,14,GLOBAL DIAGNOSTICS Under PMA,Item Categories : HCV Rapid Test Kits,` 48000.00,L13,,
207,GEM/2025/B/6572358,15,Diagnostic Sales House Under PMA,Item Categories : HCV Rapid Test Kits,` 50400.00,L14,,
207,GEM/2025/B/6572358,16,A.R.S. PHARMACEUTICALS Under PMA,Item Categories : HCV Rapid Test Kits,` 52500.00,L15,,
207,GEM/2025/B/6572358,17,PREETAM AGENCY Under PMA,Item Categories : HCV Rapid Test Kits,` 62940.00,L16,,
207,GEM/2025/B/6572358,18,U.S SCIENTIFICS Under PMA,Item Categories : HCV Rapid Test Kits,` 75000.00,L17,,
207,GEM/2025/B/6572358,,,,,,,
203,GEM/2025/B/6541271,1,ALPINE DIAGNOSTIC CENTRE LLP Under PMA,"Item Categories : Absorbent Cotton Wool 500 gm,Absorbent Gauze Cloth Size 90 cm x 18 mtr,AIRWAY ADULT PED NO 1,AIRWAY",` 25352996.52,L1,,
203,GEM/2025/B/6541271,2,LIFECARE SALES AND SERVICES Under PMA,"Item Categories : Absorbent Cotton Wool 500 gm,Absorbent Gauze Cloth Size 90 cm x 18 mtr,AIRWAY ADULT PED NO 1,AIRWAY",` 25542682.24,L2,,
203,GEM/2025/B/6541271,3,NIRMITEE ENGINEERING CORPORATION Under PMA,"Item Categories : Absorbent Cotton Wool 500 gm,Absorbent Gauze Cloth Size 90 cm x 18 mtr,AIRWAY ADULT PED NO 1,AIRWAY",` 988494762.00,L3,,
203,GEM/2025/B/6541271,,,,,,,
212,GEM/2025/B/6484658,1,HYCOSMID LLP Under PMA,Item Categories : 5X Capital 1-Step qRT PCR Probe Master Mix (1000rxn),` 4760000.00,L1,,
212,GEM/2025/B/6484658,2,ALLIANZ BIOINNOVATION Under PMA,Item Categories : 5X Capital 1-Step qRT PCR Probe Master Mix (1000rxn),` 4838400.00,L2,,
212,GEM/2025/B/6484658,3,BIOSEQ Under PMA,Item Categories : 5X Capital 1-Step qRT PCR Probe Master Mix (1000rxn),` 5400000.00,L3,,
212,GEM/2025/B/6484658,,,,,,,
